                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.40289,                0.33987,                 1.0171,                0.44088,                0.35853,                 1.0296,                0.97309,                0.99683,                  0.995,                0.93095,                0.37134,                0.24606,                0.96737,                0.38878,                0.23115,                0.98803,             0.00041275,             0.00041275,             0.00041275
                     79,                 0.3976,                0.30199,                 1.0078,                0.43249,                0.31052,                 1.0183,                0.99673,                      1,                  0.995,                 0.9386,                0.34054,                0.23924,                0.93685,                0.36437,                0.17611,                0.96534,             0.00039625,             0.00039625,             0.00039625
                     80,                0.38816,                0.31137,                 1.0063,                0.42374,                0.30943,                 1.0179,                0.99517,                      1,                  0.995,                0.94472,                0.32778,                0.23156,                0.91624,                0.35499,                0.20774,                0.94573,             0.00037974,             0.00037974,             0.00037974
                     81,                0.37644,                0.28729,                0.98261,                0.41077,                0.29503,                0.99757,                0.94058,                0.99242,                 0.9934,                0.93678,                0.34107,                0.24326,                0.92283,                0.35884,                0.24789,                0.94391,             0.00036324,             0.00036324,             0.00036324
                     82,                0.37756,                0.28457,                 0.9896,                0.41144,                0.28256,                 1.0005,                0.96018,                      1,                0.99324,                0.94931,                0.34161,                0.24548,                0.91864,                0.36021,                0.21052,                0.94547,             0.00034674,             0.00034674,             0.00034674
                     83,                0.38713,                0.29969,                 0.9847,                0.41931,                0.30763,                0.99806,                0.99214,                      1,                  0.995,                0.93832,                0.34982,                0.24671,                0.94314,                0.36665,                0.19345,                0.96511,             0.00033023,             0.00033023,             0.00033023
                     84,                0.36583,                0.28191,                 0.9808,                 0.4067,                0.28114,                0.99881,                0.98431,                0.97744,                 0.9934,                0.95001,                0.33275,                0.24027,                 0.9098,                0.33948,                0.22127,                0.91604,             0.00031373,             0.00031373,             0.00031373
                     85,                0.38984,                0.29224,                 0.9926,                0.43208,                0.28735,                 1.0086,                0.99267,                0.97826,                 0.9934,                0.95333,                0.33819,                0.23057,                0.92256,                0.33959,                0.19842,                0.92168,             0.00029723,             0.00029723,             0.00029723
                     86,                0.35825,                0.29775,                 0.9856,                0.38744,                0.32035,                0.99596,                 0.9843,                0.97826,                 0.9934,                0.94698,                0.33813,                0.22824,                0.91713,                 0.3368,                 0.2371,                0.91688,             0.00028072,             0.00028072,             0.00028072
                     87,                0.35697,                0.29107,                0.98798,                0.38523,                0.28469,                0.99907,                0.99441,                0.98564,                  0.995,                0.94846,                0.32431,                0.21959,                0.91124,                0.33064,                0.19872,                0.92401,             0.00026422,             0.00026422,             0.00026422
                     88,                0.36458,                0.29176,                0.99193,                0.39544,                0.28971,                 1.0044,                 0.9616,                0.97558,                0.99144,                0.94198,                0.32705,                0.22833,                0.90824,                0.33339,                0.21933,                0.92024,             0.00024772,             0.00024772,             0.00024772
                     89,                0.33991,                0.26581,                0.97094,                0.37142,                0.27125,                0.97915,                0.99655,                0.99219,                  0.995,                0.94889,                0.32641,                0.22538,                0.90985,                0.32676,                0.18849,                0.91083,             0.00023121,             0.00023121,             0.00023121
                     90,                0.37084,                0.27534,                0.98458,                0.40634,                0.26269,                0.99872,                0.99194,                0.99791,                  0.995,                 0.9487,                0.32213,                0.22396,                0.91306,                0.32426,                0.19625,                0.91259,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.2662,                0.27366,                0.96045,                0.27778,                 0.3031,                0.97854,                0.99174,                0.95652,                0.99253,                0.94298,                0.35079,                0.24996,                0.95026,                0.34232,                0.22538,                0.94846,             0.00019821,             0.00019821,             0.00019821
                     92,                0.24695,                0.22792,                0.91704,                0.25317,                0.22255,                0.92772,                0.97011,                0.99044,                0.99147,                0.94385,                0.34626,                 0.2467,                0.93672,                0.34373,                0.23579,                 0.9314,              0.0001817,              0.0001817,              0.0001817
                     93,                0.24095,                0.23737,                0.92647,                0.24767,                0.24538,                0.94334,                0.98027,                0.99037,                  0.995,                0.95123,                0.33044,                0.23042,                 0.9049,                 0.3155,                0.20776,                0.90526,              0.0001652,              0.0001652,              0.0001652
                     94,                0.23786,                0.22152,                0.92139,                0.24776,                0.21874,                0.93048,                0.96358,                0.99284,                  0.995,                0.96439,                0.33216,                0.23353,                 0.9065,                0.32511,                0.20089,                0.90816,              0.0001487,              0.0001487,              0.0001487
                     95,                0.24582,                0.21744,                0.92785,                0.25023,                0.20146,                0.93648,                      1,                0.95377,                  0.995,                0.95684,                0.32581,                0.22108,                0.90528,                0.32497,                0.19451,                 0.9084,             0.00013219,             0.00013219,             0.00013219
                     96,                0.22606,                0.22259,                0.92346,                0.23344,                0.21781,                0.93181,                0.99591,                      1,                  0.995,                0.95879,                0.31637,                 0.2198,                0.90042,                0.30693,                0.18345,                0.89852,             0.00011569,             0.00011569,             0.00011569
                     97,                0.22867,                0.20216,                0.92128,                0.23622,                0.19981,                0.92869,                0.97531,                0.99674,                0.99333,                0.95856,                0.31148,                0.21412,                0.89512,                0.30315,                0.19343,                0.89349,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.23537,                0.20322,                0.91458,                0.24366,                0.19368,                0.92383,                 0.9964,                0.98273,                  0.995,                0.95976,                  0.313,                0.20966,                0.89686,                0.31131,                 0.1924,                0.89883,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.22169,                0.18835,                0.91755,                0.23604,                 0.1905,                 0.9337,                0.99738,                      1,                  0.995,                0.96234,                0.31294,                0.20721,                0.89663,                0.31053,                0.16376,                0.89591,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.21023,                0.19403,                 0.8863,                0.21403,                0.17573,                0.89365,                0.98654,                      1,                  0.995,                0.96257,                0.30551,                0.20522,                0.88928,                 0.2984,                0.16849,                0.88529,             4.9677e-05,             4.9677e-05,             4.9677e-05
